sample_id,coco_id,category,mask_type,tamper_ratio,fake_relpath,real_relpath,mask_relpath,split,used_in_experiment
baseball glove_109118_bbox_1,109118,baseball glove,bbox,0.02354,sd2-sp_validation/baseball glove/109118_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/baseball glove/109118_orig.png,masks_validation/baseball glove/109118_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
baseball glove_12639_bbox_1,12639,baseball glove,bbox,0.00908,sd2-sp_validation/baseball glove/12639_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/baseball glove/12639_orig.png,masks_validation/baseball glove/12639_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
baseball glove_153797_bbox_2,153797,baseball glove,bbox,0.00704,sd2-sp_validation/baseball glove/153797_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/baseball glove/153797_orig.png,masks_validation/baseball glove/153797_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
baseball glove_213171_bbox_1,213171,baseball glove,bbox,0.0087,sd2-sp_validation/baseball glove/213171_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/baseball glove/213171_orig.png,masks_validation/baseball glove/213171_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
baseball glove_257478_segm_2,257478,baseball glove,segm,0.00699,sd2-sp_validation/baseball glove/257478_mask_segm.png_ps_mask.png_sd2_2.png,orig_validation/baseball glove/257478_orig.png,masks_validation/baseball glove/257478_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;E4/B4-mirror-fake
baseball glove_345466_segm_0,345466,baseball glove,segm,0.00744,sd2-sp_validation/baseball glove/345466_mask_segm.png_ps_mask.png_sd2_0.png,orig_validation/baseball glove/345466_orig.png,masks_validation/baseball glove/345466_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
baseball glove_515982_segm_1,515982,baseball glove,segm,0.00934,sd2-sp_validation/baseball glove/515982_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/baseball glove/515982_orig.png,masks_validation/baseball glove/515982_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake
baseball glove_554328_bbox_1,554328,baseball glove,bbox,0.04175,sd2-sp_validation/baseball glove/554328_mask_bbox.png_ps_mask.png_sd2_1.png,orig_validation/baseball glove/554328_orig.png,masks_validation/baseball glove/554328_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real;E4/B4-mirror-fake
bed_10092_bbox_2,10092,bed,bbox,0.24698,sd2-sp_validation/bed/10092_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/bed/10092_orig.png,masks_validation/bed/10092_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
bed_106389_segm_1,106389,bed,segm,0.06848,sd2-sp_validation/bed/106389_mask_segm.png_ps_mask.png_sd2_1.png,orig_validation/bed/106389_orig.png,masks_validation/bed/106389_mask_segm.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
bed_193494_bbox_0,193494,bed,bbox,0.2505,sd2-sp_validation/bed/193494_mask_bbox.png_ps_mask.png_sd2_0.png,orig_validation/bed/193494_orig.png,masks_validation/bed/193494_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-real
bed_283412_bbox_2,283412,bed,bbox,0.13132,sd2-sp_validation/bed/283412_mask_bbox.png_ps_mask.png_sd2_2.png,orig_validation/bed/283412_orig.png,masks_validation/bed/283412_mask_bbox.png_ps_mask.png,frozen_184_source_subset,T02-F01;X01;X03-fake;E4/B4-mirror-fake
